id,energy_consumption,energy_effective,energy_waste
0,3587960.0,1755030.0,1832930.0
1,3587960.0,1755030.0,1832930.0
2,3587960.0,1755030.0,1832930.0
3,3587960.0,1755030.0,1832930.0
4,3587960.0,1755030.0,1832930.0
5,3587960.0,1747430.0,1840530.0
6,3587960.0,1577760.0,2010200.0
7,3587960.0,1422150.0,2165810.0
8,3587960.0,1141140.0,2446820.0
9,3587960.0,921500.0,2666460.0
10,3587960.0,885020.0,2702940.0
11,3587960.0,872100.0,2715860.0
12,3587960.0,869060.0,2718900.0
13,3587960.0,858040.0,2729920.0
14,3587960.0,826120.0,2761840.0
15,3587960.0,701100.0,2886860.0
16,3587960.0,496660.0,3091300.0
17,3587960.0,441180.0,3146780.0
18,3587960.0,386080.0,3201880.0
19,3587960.0,367080.0,3220880.0
20,3587960.0,357580.0,3230380.0
21,3587960.0,309890.0,3278070.0
22,3587960.0,285000.0,3302960.0
23,3255282.0,251750.0,3003532.0
24,3244060.0,232370.0,3011690.0
25,3153741.0,172900.0,2980841.0
26,2354264.0,102980.0,2251284.0
27,2354264.0,102980.0,2251284.0
28,2358608.0,107540.0,2251068.0
29,1769453.0,81890.0,1687563.0
30,1507003.0,63270.0,1443733.0
31,909341.0,44080.0,865261.0
